split ID,account ID,行程名稱,記帳名稱,旅伴名稱,分攤金額,分攤幣別,台幣結算,insert date,update date
spl000156,acc00056,Fashion Center Shimamura Asakusa ROX · 3G shop,淺草Honeys衣服,瓜,0,JPY,0,2026-04-19 5:31:32,2026-04-19 5:31:32
spl000157,acc00044,忍野八海,忍野八海印章,油,-200,JPY,-40.5,2026-04-19 5:32:42,2026-04-19 5:32:42
spl000158,acc00044,忍野八海,忍野八海印章,瓜,0,JPY,0,2026-04-19 5:32:42,2026-04-19 5:32:42
spl000159,acc00064,川越冰川神社,冰川神社抽籤拜拜御朱印御守,油,-2220,JPY,-449.55,2026-04-19 11:58:29,2026-04-19 11:58:29
spl000160,acc00064,川越冰川神社,冰川神社抽籤拜拜御朱印御守,瓜,-2020,JPY,-409.05,2026-04-19 11:58:29,2026-04-19 11:58:29
spl000163,acc00066,,油瘋狂扭蛋,油,-700,JPY,-141.75,2026-04-19 12:00:44,2026-04-19 12:00:44
spl000164,acc00066,,油瘋狂扭蛋,瓜,0,JPY,0,2026-04-19 12:00:44,2026-04-19 12:00:44
spl000165,acc00067,Chiikawa Mogumogu Hompo Kawagoe,油購買福袋（吉伊卡哇）,油,-6127,JPY,-1240.7175,2026-04-19 12:03:32,2026-04-19 12:03:32
spl000166,acc00067,Chiikawa Mogumogu Hompo Kawagoe,油購買福袋（吉伊卡哇）,瓜,0,JPY,0,2026-04-19 12:03:32,2026-04-19 12:03:32
spl000167,acc00068,鰻魚飯老店 小川菊,小川菊鰻魚飯好好吃！！！,油,-5350,JPY,-1083.375,2026-04-19 12:51:09,2026-04-19 12:51:09
spl000168,acc00068,鰻魚飯老店 小川菊,小川菊鰻魚飯好好吃！！！,瓜,-5350,JPY,-1083.375,2026-04-19 12:51:09,2026-04-19 12:51:09
spl000169,acc00069,銀時,巴菲,油,-1980,JPY,-400.95,2026-04-19 15:09:18,2026-04-19 15:09:18
spl000170,acc00069,銀時,巴菲,瓜,-1980,JPY,-400.95,2026-04-19 15:09:18,2026-04-19 15:09:18
spl000171,acc00070,川越 熊野神社,熊野神社,油,-1740,JPY,-352.35,2026-04-19 15:14:28,2026-04-19 15:14:28
spl000172,acc00070,川越 熊野神社,熊野神社,瓜,-40,JPY,-8.1,2026-04-19 15:14:28,2026-04-19 15:14:28
spl000173,acc00071,時之鐘,時之鐘.藥師神社,油,-20,JPY,-4.05,2026-04-19 15:59:56,2026-04-19 15:59:56
spl000174,acc00071,時之鐘,時之鐘.藥師神社,瓜,-20,JPY,-4.05,2026-04-19 15:59:56,2026-04-19 15:59:56
